Listado de Socios

Número de Documento;Nombre;Deuda
1111;Eugenio Bonifacio;100
1212;Rodrigo Garro;300
1313;Carlos Tévez;450
1414;Julián Velázquez;600
1515;Lautaro Blanco;750
1616;Franco Buonanotte;900
1818;Facundo Almada;-300
1919;Alan Marinelli;100
2020;Luca Dupuy;200
2121;Facundo Campazzo;500
2323;Emanuel Ginobili;500
2525;Pablo Guiñazu;400
2626;Agustin Rossi;300
2727;Marcos Rojo;200
3333;Alan Aguerre;-100
4444;Diego Valoyes;400
5555;Julio Buffarini;500
6666;Rafael Pérez;-200
7777;Matías Catalan;-300
8888;Alan Franco;800
9999;Francisco Pizzini;900
1010;Michael Santos;150
1717;Fernando Torrent;-150
2222;Guido Herrera;200
2424;Javier Gandolfi;100
300;camila bernales;0,0000
Deuda mayor en el listado:;900
Deuda menor en el listado:;-300
Total de deuda:;7300
Promedio:;280,76923076923076923076923077
